name,address,active_years,closure_reason,lat,lng,notes,documentation_status
Monkey Mania,2126 Arapahoe Street,1998-2005,Resident change/venue evolution,39.7519,-104.9852,Evolved into Kingdom of Doom,Documented - Westword articles
Seventh Circle Music Collective,Address TBD,2016-present,Active,,,"Current DIY venue, all-ages",Active venue
Rhinoceropolis,Address TBD,2005-present,Active,,,"Founded by Travis Egedy and Warren Bedell",Active venue
Kingdom of Doom,2126 Arapahoe Street,2005-2009,Closure/development,39.7519,-104.9852,Successor to Monkey Mania,Documented - venue evolution
Rainbow Music Hall,6358 Washington Street,1979-1990s,Closure/development,39.7405,-105.0265,Historic venue,Documented - Wikipedia
The Fox Theatre,1135 13th Street,1930s-present,Still operating,39.7408,-104.9983,Historic venue still operating,Active venue
Herman's Hideaway,1578 S Broadway,1980s-2020s,Closure/development,39.6890,-104.9871,Historic venue,Documented - multiple sources
Rebis Galleries,Address TBD,1990s-2000s,Closure,,,"Mentioned in High Plains Underground Archive",Research needed
The Bluebird Theater,3317 E Colfax Ave,1913-present,Still operating,39.7408,-104.9411,Historic venue still operating,Active venue
The Ogden Theatre,935 E Colfax Ave,1917-present,Still operating,39.7408,-104.9720,Historic venue still operating,Active venue
The Gothic Theatre,3263 S Broadway,1925-present,Still operating,39.6513,-105.0175,Historic venue still operating,Active venue
Larimer Lounge,2721 Larimer Street,2000s-present,Still operating,39.7585,-104.9848,Current music venue,Active venue
Hi-Dive,7 S Broadway,2003-present,Still operating,39.7179,-104.9878,Current music venue,Active venue
Lost Lake Lounge,3602 E Colfax Ave,2000s-present,Still operating,39.7408,-104.9356,Current music venue,Active venue
Cervantes' Masterpiece Ballroom,2637 Welton Street,1900s-present,Still operating,39.7582,-104.9788,Historic venue still operating,Active venue
Twist & Shout,2508 E Colfax Ave,1988-present,Record store and venue,39.7408,-104.9571,Record store with performance space,Active venue
The Meadowlark,2701 Larimer Street,2010s-present,Still operating,39.7585,-104.9849,Current music venue,Active venue
Syntax Physic Opera,Various locations,2000s-2010s,Mobile venue project,,,Performance art/music collective,Research needed
The Church,1160 Lincoln Street,1900s-2000s,Closure/development,39.7388,-104.9845,Historic venue,Documented - development
Streets of London,1430 Market Street,1980s-1990s,Closure,39.7514,-104.9957,Historic punk venue,Research needed
The Paramount Theatre,1621 Glenarm Place,1930-present,Still operating,39.7437,-104.9958,Historic venue still operating,Active venue
Fillmore Auditorium,1510 Clarkson Street,1907-present,Still operating,39.7424,-104.9711,Historic venue still operating,Active venue
The Grizzly Rose,5450 N Valley Hwy,1989-present,Still operating,39.7883,-104.9522,Country music venue,Active venue
The Stadium Inn,1330 17th Street,1970s-1990s,Closure/development,39.7469,-104.9973,Historic venue,Research needed
Munroe's,1331 17th Street,1970s-1990s,Closure/development,39.7469,-104.9973,Historic venue,Research needed
The Satire Lounge,1920 E Colfax Ave,1960s-1990s,Closure,39.7408,-104.9742,Historic venue,Research needed
The Turnverein,1570 Clarkson Street,1900s-present,Still operating,39.7423,-104.9708,Historic German venue,Active venue
The Lion's Lair,2022 E Colfax Ave,1960s-present,Still operating,39.7408,-104.9712,Historic dive bar/venue,Active venue
The Skylark Lounge,140 S Broadway,1940s-1990s,Closure,39.7168,-104.9873,Historic venue,Research needed
3 Kings Tavern,60 S Broadway,1940s-2000s,Closure,39.7171,-104.9874,Historic venue,Research needed